AD_ID,feat
196785711,Alarm/Anti-Theft System
196785612,Alarm/Anti-Theft System
196771644,ABSAir ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioAux Audio InBluetooth SystemCruise ControlEBDFog LightsNavigation SystemOff-Road TyresParking SensorsPower LocksPower MirrorsPower SteeringPower WindowsRear View CameraRoof RackTouch ScreenUSB Charger
196770934,
196770732,Air ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioAux Audio InFog LightsPower LocksPower SteeringPower WindowsUSB Charger
196756536,
196697639,
196696776,
196306915,ABSAir ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioAux Audio InBluetooth SystemCruise ControlEBDFog LightsKeyless StartLeather SeatsNavigation SystemOff-Road TyresParking SensorsPower LocksPower MirrorsPower SeatsPower SteeringPower WindowsPremium Wheels/RimsRear View CameraRoof RackSunroofTouch ScreenUSB Charger
195808395,ABSAir ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioAux Audio InBluetooth SystemCruise ControlEBDFog LightsKeyless StartLeather SeatsNavigation SystemOff-Road TyresParking SensorsPower LocksPower MirrorsPower SeatsPower SteeringPower WindowsPremium Wheels/RimsRear View CameraRoof RackSunroofTouch ScreenUSB Charger
196785804,
196785921,ABSAir ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioAux Audio InBluetooth SystemCruise ControlEBDFog LightsNavigation SystemParking SensorsPower LocksPower MirrorsPower SteeringPower WindowsPremium Wheels/RimsRear View CameraSunroofTouch ScreenUSB Charger
196785869,Air ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioAux Audio InBluetooth SystemCruise ControlEBDFog LightsKeyless StartLeather SeatsNavigation SystemOff-Road TyresParking SensorsPower LocksPower MirrorsPower SeatsPower SteeringPower WindowsPremium Wheels/RimsRear View CameraRoof RackSunroofTouch ScreenUSB Charger
196785807,Alarm/Anti-Theft System
196775583,
196782230,
196785532,AM/FM RadioAux Audio InUSB Charger
196785239,ABSAir ConditioningAirbagsAM/FM RadioAux Audio InEBDFog LightsLeather SeatsPower LocksPower SteeringPower WindowsPremium Wheels/Rims
196784640,ABSAir ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioAux Audio InBluetooth SystemCruise ControlEBDFog LightsKeyless StartLeather SeatsNavigation SystemParking SensorsPower LocksPower MirrorsRear View CameraSunroofTouch ScreenUSB Charger
196770687,
196755959,
196740846,ABSAir ConditioningAirbagsAlarm/Anti-Theft SystemAM/FM RadioLeather SeatsPower LocksPower SteeringPower WindowsUSB Charger
196725843,
196725554,
196710146,Air ConditioningAM/FM RadioBluetooth SystemEBDFog LightsLeather SeatsParking SensorsPower LocksPower MirrorsPower SteeringPower WindowsRear View CameraRoof Rack
